"ROOMID","SITEID","NAME","CATEGORY","TYPE","CLASSIFICATION","ROOMGRPCODE","ZONE","CAPACITY","PREFMIN","PREFMAX","DEPTID","ROOMAREA","DYNAFILL","SETID","UNIQUEFIELD","LINKCODE","CAMPUSID"
"G13","235","Chandler G13","MEI","DB","CI","","YA",6,,,"PSYLA_BRN",-1,"N","LIVE-15-16","","CHAND_","X01"
"G15","235","Chandler G15","MEI","DB","CR","","YP",42,,,"PSYLA_BRN",-1,"N","LIVE-15-16","","CHAND_","X01"
"G17","235","Chandler G17","MEI","DB","CI","","YA",6,,,"PSYLA_BRN",-1,"N","LIVE-15-16","","CHAND_","X01"
"G18","235","Chandler G18","MEI","DB","CI","","YA",4,,,"PSYLA_BRN",-1,"N","LIVE-15-16","","CHAND_","X01"
"G19","235","Chandler G19","MEI","DB","CI","","YA",6,,,"PSYLA_BRN",-1,"N","LIVE-15-16","","CHAND_","X01"
"G21","235","Chandler G21","MEI","DB","CI","","YA",10,,,"PSYLA_BRN",-1,"N","LIVE-15-16","","CHAND_","X01"
"G20","067","Christopher Ingold Building G20 - Public Cluster","SNR","CB","PC1","","YN",61,,48,"ESTDV_ADM",134.100006,"N","LIVE-17-18","","CINGL_","X01"
"ST","RS","Rada Studios - Studio Theatre","EXT","DB","LT","","N",150,,,"BSCPM_BEN",-1,"N","LIVE-17-18","","ST","X06"
"G15","042","DMS Watson Building G15 - Public Cluster","REC","CB","PC1","","YN",35,,26,"ESTDV_ADM",77.9000015,"N","LIVE-17-18","","DWATS_","X01"
"B29","180","Birkbeck Malet Street B29","EXT","CB","CR","","NN",30,,,"ESTDV_ADM",46.5099983,"N","LIVE-17-18","","","X06"
"3861","411","Canary Wharf (1), Level 38, Seminar Room S10","","DB","CR","","NN",30,,,"MANSC_ENG",-1,"N","LIVE-17-18","","","X01"
"B1.03","212","Cruciform B1.03","CLU","CB","CR","","YP",18,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","CRUCI_","X01"
"ICHPU1","238","PUW Seminar 1 (Ground Floor, 30 Guildford Street)","CHH","DB","CR","","YA",20,,,"CHILD_PHS",-1,"N","LIVE-17-18","","","X05"
"ICHPU3","238","PUW Seminar  3 (Ground Floor, 30 Guildford Street)","CHH","DB","CR","","YA",20,,,"CHILD_PHS",-1,"N","LIVE-17-18","","","X05"
"ICHPU3","238","PUW Seminar  3 (Ground Floor, 30 Guildford Street)","CHH","DB","MR","","YA",12,,,"CHILD_PHS",0,"N","LIVE-17-18","1","","X05"
"BMADR","BMA","BMA Dickens Room","EXT","DB","CR","","N",40,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"B35","180","Birkbeck Malet Street B35","EXT","CB","LT","","NN",125,,,"ESTDV_ADM",134.720001,"N","LIVE-17-18","","","X06"
"B36","180","Birkbeck Malet Street B36","EXT","CB","LT","","NN",123,,,"ESTDV_ADM",126.629997,"N","LIVE-17-18","","","X06"
"G02","037","Medawar Building G02 Watson LT","REC","CB","LT","","YP",54,,,"ESTDV_ADM",53.7400017,"N","LIVE-17-18","","MEDAW_","X01"
"B30","025","Gordon Square (25) B30","REC","CB","CR","","YP",18,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","GRDSQ25_","X01"
"B1.05","212","Cruciform B1.05","CLU","CB","CR","","YP",18,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","CRUCI_","X01"
"ICHPU1","238","PUW Seminar 1 (Ground Floor, 30 Guildford Street)","CHH","DB","MR","","YA",12,,,"CHILD_PHS",0,"N","LIVE-17-18","1","","X05"
"312","201","Rockefeller Building 312","CLU","DB","CR","","YP",18,,,"CAN02_MDS",26.2999992,"N","LIVE-17-18","","ROCKF_","X01"
"B44","005","Wilkins Building (Main Building) AV Store B44","REC","DB","ER","","N",,,,"ISDME_ADM",-1,"N","LIVE-17-18","","WILKN_","X01"
"BMAC","BMA","BMA Courtyard Suite","EXT","DB","CR","","N",120,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"BMALF","BMA","BMA Lister-Fleming Room","EXT","DB","CR","","N",40,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"129","126","Taviton (14) 129","SNR","CB","CR","","YP",16,,,"ESTDV_ADM",33.4000015,"N","LIVE-17-18","","TAVTN_","X01"
"130","126","Taviton (14) 130","SNR","CB","CR","","YP",16,,,"ESTDV_ADM",25.8999996,"N","LIVE-17-18","","TAVTN_","X01"
"BMAMB","BMA","BMA Murrell Room","EXT","DB","CR","","N",55,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"131","126","Taviton (14) 131","SNR","CB","CR","","YP",16,,,"ESTDV_ADM",23.7999992,"N","LIVE-17-18","","TAVTN_","X01"
"790","162","IOE - Bedford Way (20) - 790","SNR","CB","CFE","","YN",20,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X01"
"132","126","Taviton (14) 132","SNR","CB","CR","","YP",16,,,"ESTDV_ADM",22.6000004,"N","LIVE-17-18","","TAVTN_","X01"
"353","180","Birkbeck Malet Street 353","EXT","CB","CR","","NN",25,,,"ESTDV_ADM",37.2099991,"N","LIVE-17-18","","","X06"
"B15B","016","Anatomy B15","REC","CB","CR","","YP",45,,,"ESTDV_ADM",75.6999969,"N","LIVE-17-18","","MEDSC_","X01"
"345","126","Taviton (16) 345","SNR","CB","CR","","YP",16,,,"ESTDV_ADM",23.2000008,"N","LIVE-17-18","","TAVTN_","X01"
"354","180","Birkbeck Malet Street 354","EXT","CB","CR","","NN",25,,,"ESTDV_ADM",37.1399994,"N","LIVE-17-18","","","X06"
"B1.07","212","Cruciform B1.07","CLU","CB","CR","","YP",18,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","CRUCI_","X01"
"346","126","Taviton (16) 346","SNR","CB","CR","","YP",16,,,"ESTDV_ADM",24.8999996,"N","LIVE-17-18","","TAVTN_","X01"
"535","126","Taviton (16) 535","SNR","CB","CR","","YP",16,,,"ESTDV_ADM",24.7000008,"N","LIVE-17-18","","TAVTN_","X01"
"534","126","Taviton (16) 534","SNR","CB","CR","","YP",16,,,"ESTDV_ADM",26.5,"N","LIVE-17-18","","TAVTN_","X01"
"9","012","South Wing 9 Garwood LT","REC","CB","LT","","YP",48,,,"ESTDV_ADM",57.7000008,"N","LIVE-17-18","","SWING_","X01"
"SHBR","Senate","Senate House Bloomsbury Room","EXT","DB","CR","","N",50,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"SHMR","Senate","Senate House Montague Room","EXT","DB","CR","","N",60,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"WR","Senate","Senate House Woburn Room","EXT","DB","CR","","N",60,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"112","040","Foster Court 112","REC","CB","CR","","YP",18,,,"ESTDV_ADM",37,"N","LIVE-15-16","","FOSTR_","X01"
"130","040","Foster Court 130","REC","CB","CR","","YP",22,,,"ESTDV_ADM",36.4000015,"N","LIVE-17-18","","FOSTR_","X01"
"132","040","Foster Court 132","REC","CB","CR","","YP",22,,,"ESTDV_ADM",34.2000008,"N","LIVE-17-18","","FOSTR_","X01"
"233","040","Foster Court 233","REC","CB","CR","","YP",22,,,"ESTDV_ADM",35,"N","LIVE-17-18","","FOSTR_","X01"
"B30","180","Birkbeck Malet Street B30","EXT","CB","CR","","NN",40,,,"ESTDV_ADM",59.9399986,"N","LIVE-17-18","","","X06"
"355","180","Birkbeck Malet Street 355","EXT","CB","CR","","NN",25,,,"ESTDV_ADM",36.5800018,"N","LIVE-17-18","","","X06"
"34","050","Wilkins Garden Room","REC","CB","MR","","YP",20,,,"ESTDV_ADM",112.68,"N","LIVE-17-18","","WILKN_","X01"
"SPC","162","IOE - Bedford Way (20) - 435 - The Space Observation Suite","SNR","CB","TH","","YN",30,,,"ESTDV_ADM",0,"N","LIVE-17-18","2","","X01"
"304","025","Gordon Square (25) 304","REC","DB","OF","","N",15,,,"HISTR_SHS",-1,"N","LIVE-17-18","","GRDSQ24_","X01"
"433","126","Taviton (16) 433","SNR","CB","CR","","YP",48,,,"ESTDV_ADM",63.7000008,"N","LIVE-17-18","","TAVTN_","X01"
"LG18","251","Astor College LG18","CLM","CB","CR","","NN",25,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","251","X01"
"828","162","IOE - Bedford Way (20) - 828","SNR","CB","CFE","","YN",40,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X01"
"113","040","Foster Court 113","REC","CB","CR","","YP",18,,,"ESTDV_ADM",37.2000008,"N","LIVE-15-16","","FOSTR_","X01"
"101","028","Gordon Square (23) 101","REC","CB","CR","","YP",18,,,"ESTDV_ADM",32,"N","LIVE-15-16","","GRDSQ23_","X01"
"G23","003","Pearson (North East Entrance) G23","REC","CB","CR","","YP",18,,,"ESTDV_ADM",31.3199997,"N","LIVE-15-16","","PEARS_","X01"
"101","212","Cruciform Foyer 101 Seminar Room 1","CLU","CB","CR","","YP",20,,,"ESTDV_ADM",53.0999985,"N","LIVE-15-16","","CRUCI_","X01"
"102","212","Cruciform Foyer 102 Seminar Room 2","CLU","CB","CR","","YP",20,,,"ESTDV_ADM",44.7999992,"N","LIVE-15-16","","CRUCI_","X01"
"201","212","Cruciform Foyer 201 Seminar Room 3","CLU","CB","CR","","YP",20,,,"ESTDV_ADM",47,"N","LIVE-15-16","","CRUCI_","X01"
"B04","107","Drayton B04","SNR","CB","LT","","YP",20,,,"ESTDV_ADM",21.8600006,"N","LIVE-15-16","","DRAYT_","X01"
"B05","107","Drayton B05","SNR","CB","LT","","YP",20,,,"ESTDV_ADM",22.3400002,"N","LIVE-15-16","","DRAYT_","X01"
"B19","107","Drayton B19","SNR","CB","LT","","YP",20,,,"ESTDV_ADM",21.8999996,"N","LIVE-15-16","","DRAYT_","X01"
"305","162","IOE - Bedford Way (20) - 305 - Clarke Hall","SNR","CB","TH","","YN",70,,,"ESTDV_ADM",0,"N","LIVE-17-18","2","","X01"
"011","181","Birkbeck Gordon Square (43) Cinema","EXT","CB","LT","","NN",70,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"235","040","Foster Court 235","REC","CB","CR","","YP",20,,,"ESTDV_ADM",34.7000008,"N","LIVE-15-16","","FOSTR_","X01"
"SPC","162","IOE - Bedford Way (20) - 435 - The Space Observation Suite","SNR","CB","CFE","","YN",20,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X01"
"SCL","162","IOE - Bedford Way (20) 916 - Science Lab 1","EXT","DB","LA","","",30,,,"ICIED_NFA",-1,"N","LIVE-17-18","","","X01"
"104","009","Bloomsbury Rehearsal Room 104","REC","DB","MR","","N",54,,,"STUNI_ADM",-1,"N","LIVE-17-18","","BLOOM_","X01"
"SCL 2","162","IOE - Bedford Way (20) 920 - Science Lab 2","EXT","DB","LA","","",30,,,"ICIED_NFA",-1,"N","LIVE-17-18","","","X01"
"105","009","Bloomsbury Room 105","REC","DB","MR","","N",15,,,"STUNI_ADM",-1,"N","LIVE-17-18","","BLOOM_","X01"
"203","009","Bloomsbury Conference Room 203","REC","DB","MR","","N",70,,,"STUNI_ADM",-1,"N","LIVE-17-18","","BLOOM_","X01"
"204","009","Bloomsbury Room 204","REC","DB","MR","","N",15,,,"STUNI_ADM",-1,"N","LIVE-17-18","","BLOOM_","X01"
"212","009","Bloomsbury Meeting Room 212","REC","DB","MR","","N",15,,,"STUNI_ADM",-1,"N","LIVE-17-18","","BLOOM_","X01"
"106","088","Gordon House 106","SNR","CB","CR","","YP",50,,,"ESTDV_ADM",85.6999969,"N","LIVE-17-18","","GRDHS_","X01"
"243","040","Foster Court 243","REC","CB","CR","","YP",20,,,"ESTDV_ADM",53.6899986,"N","LIVE-15-16","","FOSTR_","X01"
"GCS1","GDCOL","Goodenough College Seminar Room 1","EXT","DB","CR","","N",15,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","","X06"
"SCL 3","162","IOE - Bedford Way (20) 919 - Science Lab 3","EXT","DB","LA","","",30,,,"ICIED_NFA",-1,"N","LIVE-17-18","","","X01"
"GCS2","GDCOL","Goodenough College Seminar Room 2","EXT","DB","CR","","N",15,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","","X06"
"SPC","162","IOE - Bedford Way (20) - 435 - The Space Observation Suite","SNR","CB","CR","","YN",20,,,"ESTDV_ADM",0,"N","LIVE-17-18","1","","X01"
"120","181","Birkbeck Gordon Square (43) 120","EXT","CB","CR","","NN",22,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"784","IOE","Institute of Education 784","EXT","DB","CR","","N",30,,,"ESTAD_ADM",-1,"N","LIVE-15-16","","","X01"
"T61","UNI","Unison T6.1","EXT","DB","CR","","NN",30,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","","X06"
"CM2","IOE","Committee Room 2","EXT","DB","CR","","N",25,,,"ESTAD_ADM",-1,"N","LIVE-15-16","","","X01"
"207","025","Gordon Square (25) 207","REC","DB","OF","","N",5,,,"HISTR_SHS",-1,"N","LIVE-15-16","","GRDSQ25_","X01"
"FKWT","381","Euston (183) Franks room","EXT","DB","CR","","",60,,,"UCLHM_LIF",-1,"N","LIVE-15-16","","","X06"
"G02IOE","IOE","Institute of Education 55-59 Gordon Sq G02","EXT","DB","CR","","N",14,,,"ESTAD_ADM",-1,"N","LIVE-15-16","","","X01"
"G04","131","School of Pharmacy G04 DDR","SNR","DB","MR","","N",10,,,"PHMCY_LIF",-1,"N","LIVE-16-17","","","X01"
"G08IOE","IOE","Institute of Education 55-59 Gordon Sq G08","EXT","DB","CR","","N",10,,,"ESTAD_ADM",-1,"N","LIVE-15-16","","","X01"
"B17","049","Wolfson House Haldane LT","SNR","DB","LT","","NN",70,,,"ESTDV_ADM",94.8000031,"N","LIVE-17-18","","WOLFS_","X01"
"G04","131","School of Pharmacy G04 DDR","SNR","DB","MR","","N",10,,,"PHMCY_LIF",-1,"N","LIVE-15-16","","","X05"
"G22","131","School of Pharmacy G22 Square Lounge","SNR","DB","SS","","N",60,,,"PHMCY_LIF",-1,"N","LIVE-16-17","","","X01"
"151","IMP","Imperial RMS 1.51","EXT","","","","",20,,,"CIVLG_ENG",-1,"N","LIVE-17-18","","","X06"
"G20IOE","IOE","Institute of Education 55-59 Gordon Sq G20","EXT","DB","CR","","N",11,,,"ESTAD_ADM",-1,"N","LIVE-15-16","","","X01"
"NRM","WES","New Room","EXT","DB","CR","","NN",35,,,"ESTDV_ADM",-1,"N","LIVE-15-16","","","X06"
"338","IMP","Imperial RMS 3.38","EXT","","","","",20,,,"CIVLG_ENG",-1,"N","LIVE-17-18","","","X06"
"GULB","PCCC","Park Crescent Conference Centre Gulbenkian Room","EXT","DB","CR","","N",36,,,"BSPLN_BEN",-1,"N","LIVE-17-18","","","X06"
"G38","IMP","Imperial RMS G38","EXT","","","","",20,,,"CIVLG_ENG",-1,"N","LIVE-17-18","","","X06"
"336","126","Taviton (16) 336","SNR","DB","MR","","N",3,,,"SSEES_SES",-1,"N","LIVE-17-18","","TAVTN_","X01"
"B01","035","Gordon Square (16-18) B01","REC","DB","SS","","N",25,,,"SCAND_ART",-1,"N","LIVE-17-18","","GRDSQ16_","X01"
"B82","005","Wilkins Lower South Hall","REC","CB","SS","","YN",5,,,"ESTDV_ADM",235.899994,"N","LIVE-15-16","","WILKN_","X01"
"108","025","Gordon Square (25) 108","REC","DB","OF","","N",15,,,"HISTR_SHS",-1,"N","LIVE-17-18","","GRDSQ25_","X01"
"209","025","Gordon Square (25) 209","REC","DB","OF","","N",12,,,"HISTR_SHS",-1,"N","LIVE-17-18","","GRDSQ25_","X01"
"309","025","Gordon Square (25) 309","REC","DB","OF","","N",10,,,"HISTR_SHS",-1,"N","LIVE-17-18","","GRDSQ25_","X01"
"114","024","Gordon Square (26) 114","REC","DB","OF","","N",15,,,"HISTR_SHS",-1,"N","LIVE-17-18","","GRDSQ26_","X01"
"JCMB18","KINGSCL","James Clerk Maxwell Clerk Building 18","EXT","DB","CR","","N",70,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","KINGSCL","X06"
"B1.04","212","Cruciform Building B1.04","CLU","CB","CR","","YA",6,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","CRUCI_","X01"
"G22","131","School of Pharmacy G22 Square Lounge","SNR","DB","SS","","N",60,,,"PHMCY_LIF",-1,"N","LIVE-15-16","","","X05"
"JCR","131","School of Pharmacy Junior Common Room","SNR","DB","SS","","N",60,,,"PHMCY_LIF",-1,"N","LIVE-16-17","","","X01"
"JCR","131","School of Pharmacy Junior Common Room","SNR","DB","SS","","N",60,,,"PHMCY_LIF",-1,"N","LIVE-15-16","","","X05"
"B1.05","212","Cruciform Building B1.05","CLU","CB","CR","","YP",18,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","CRUCI_","X01"
"B1.06","212","Cruciform Building B1.06","CLU","CB","CR","","YA",10,,,"ESTDV_ADM",-1,"N","LIVE-17-18","","CRUCI_","X01"
"1C07B","212","Cruciform 1.C.07B","CLU","DB","CR","","N",6,,,"ISDME_ADM",-1,"N","LIVE-15-16","","CRUCI_","X01"
"B01","212","Cruciform B.01","CLU","DB","CR","","N",20,,,"ESTDV_ADM",18.7000008,"N","LIVE-15-16","","CRUCI_","X01"
"B01A","212","Cruciform B.01a","CLU","DB","CR","","N",10,,,"ESTDV_ADM",18.7000008,"N","LIVE-15-16","","CRUCI_","X01"
"B02","212","Cruciform B.02","CLU","DB","CR","","N",10,,,"ESTDV_ADM",18.5,"N","LIVE-15-16","","CRUCI_","X01"
"B03","212","Cruciform B.03","CLU","DB","CR","","N",10,,,"ESTDV_ADM",18,"N","LIVE-15-16","","CRUCI_","X01"
"B05","212","Cruciform B.05","CLU","DB","CR","","N",10,,,"ESTDV_ADM",17.1000004,"N","LIVE-15-16","","CRUCI_","X01"
"B06","212","Cruciform B.06","CLU","DB","CR","","N",10,,,"ESTDV_ADM",20.2999992,"N","LIVE-15-16","","CRUCI_","X01"
"B07","212","Cruciform B.07","CLU","DB","CR","","N",10,,,"ESTDV_ADM",21.2999992,"N","LIVE-15-16","","CRUCI_","X01"
"B09","212","Cruciform B.09","CLU","DB","CR","","N",20,,,"ESTDV_ADM",23.8999996,"N","LIVE-15-16","","CRUCI_","X01"
"B10","212","Cruciform B.10","CLU","DB","CR","","N",10,,,"ESTDV_ADM",23.8999996,"N","LIVE-15-16","","CRUCI_","X01"
"B115B","212","Cruciform B115B - Public Cluster","CLU","DB","PC3","","N",18,,66,"ESTDV_ADM",-1,"N","LIVE-15-16","","CRUCI_","X01"
"B303","212","Cruciform Wet Lab, basement B.303","CLU","DB","LA","","Y",72,,,"UCLMS_MDS",-1,"N","LIVE-15-16","","CRUCI_","X01"
"CRAV1","212","Cruciform AV Store","CLU","DB","ER","","N",0,,,"ISDME_ADM",1,"N","LIVE-15-16","","CRUCI_","X01"
"G101","212","Cruciform Wet Lab, ground floor G.101","CLU","DB","LA","","Y",90,,,"UCLMS_MDS",-1,"N","LIVE-15-16","","CRUCI_","X01"
"G201","212","Cruciform Wet Lab, ground floor G.201","CLU","DB","LA","","Y",90,,,"UCLMS_MDS",-1,"N","LIVE-15-16","","CRUCI_","X01"
